Area;Quantidade_de_Operacoes;Total_Valores_Apreendidos;Ha_Prisao_Flagrante;Media_Dias
Assuntos Internos                                                                                                               ;1;0.0;Não;0
Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;11;32587017.0;Sim;256
Crimes Contra Direitos Humanos                                                                                                  ;9;15125000.0;Não;81
Crimes Contra o Patrimônio                                                                                                      ;9;1085620.0;Sim;254
Crimes Eleitorais                                                                                                               ;2;0.0;Não;0
Crimes Fazendários                                                                                                              ;41;66346505.0;Sim;88
Crimes Financeiros                                                                                                              ;6;290000884.0;Não;366
Crimes Previdenciários                                                                                                          ;8;314244.0;Não;391
Crimes de Corrupção                                                                                                             ;15;2602057.0;Sim;338
Crimes de Ódio e Pornografia Infantil                                                                                           ;28;1730.0;Sim;36
Fraudes Bancárias                                                                                                               ;2;1790258.0;Não;461
Tráfico de Armas                                                                                                                ;2;82889.0;Sim;0
Tráfico de Drogas                                                                                                               ;29;5855122.0;Sim;247
